packageCode,operationCode,sequence,quantity,required
TIRE-INSTALL-PKG-4,TIRE-INSTALL-SET-4,10,1.00,true
TIRE-INSTALL-PKG-4,WHEEL-BALANCE-SET-4,20,1.00,true
TIRE-INSTALL-PKG-4,TPMS-SENSOR-SERVICE,30,1.00,true
TIRE-INSTALL-PKG-4,LUG-TORQUE-RECHECK,40,1.00,true
TIRE-INSTALL-PKG-4,NITROGEN-FILL-SET-4,50,1.00,false
TIRE-INSTALL-PKG-4-PREMIUM,TIRE-INSTALL-SET-4,10,1.00,true
TIRE-INSTALL-PKG-4-PREMIUM,ROAD-FORCE-BALANCE-SET-4,20,1.00,true
TIRE-INSTALL-PKG-4-PREMIUM,TPMS-SENSOR-SERVICE,30,1.00,true
TIRE-INSTALL-PKG-4-PREMIUM,NITROGEN-FILL-SET-4,40,1.00,true
TIRE-INSTALL-PKG-4-PREMIUM,LUG-TORQUE-RECHECK,50,1.00,true
SEASONAL-CHANGEOVER,TIRE-ROTATION,10,1.00,true
SEASONAL-CHANGEOVER,WHEEL-BALANCE-SET-4,20,1.00,true
SEASONAL-CHANGEOVER,TPMS-SENSOR-SERVICE,30,1.00,true
SEASONAL-CHANGEOVER,FLEET-TREAD-DEPTH-AUDIT,40,1.00,true
FLEET-PM-A-PKG,FLEET-PM-A-SERVICE,10,1.00,true
FLEET-PM-A-PKG,FLEET-TREAD-DEPTH-AUDIT,20,1.00,true
FLEET-PM-A-PKG,TIRE-ROTATION,30,1.00,false
FLEET-REQ-TARHEEL,DOT-ANNUAL-INSPECTION,10,1.00,true
FLEET-REQ-TARHEEL,FLEET-TREAD-DEPTH-AUDIT,20,1.00,true
FLEET-REQ-TARHEEL,LUG-TORQUE-RECHECK,30,1.00,true
FLEET-REQ-TARHEEL,MICHELIN-CASING-INSPECTION,40,1.00,true
